label,image path
minor,crops/0004_JPEG_jpg.rf.88567e90361a79b8e4638ca19c6b4af7_box0_cls9_conf53.jpg
moderate,crops/0008_JPEG_jpg.rf.94100078815a28aa1466a76fb8402102_box0_cls9_conf70.jpg
minor,crops/0008_JPEG_jpg.rf.cc50462cc9a50aa40b0d81484ef3c020_box0_cls9_conf70.jpg
moderate,crops/0011_JPEG_jpg.rf.7db7ae65cf64ebf915f9312929909d9e_box0_cls9_conf64.jpg
moderate,crops/0020_JPEG_jpg.rf.e0c5cc573cb36477e32b642d20cb2edb_box0_cls9_conf76.jpg
moderate,crops/0023_JPEG_jpg.rf.945cabae1fad243f82bb19d8c3c2f2cc_box0_cls9_conf65.jpg
moderate,crops/0023_JPEG_jpg.rf.945cabae1fad243f82bb19d8c3c2f2cc_box1_cls9_conf27.jpg
minor,crops/0024_JPEG_jpg.rf.507b5d9dc992bb5b4790fd069d90f495_box0_cls9_conf31.jpg
minor,crops/0027_JPEG_jpg.rf.90df12bde72552ea594fe665de3357e7_box0_cls9_conf49.jpg
minor,crops/0029_JPEG_jpg.rf.f8c66eedadc8932ab0a84aa726cfd438_box0_cls9_conf27.jpg
moderate,crops/0030_JPEG_jpg.rf.c6f02192bf91114686d3ecdf146c3fed_box0_cls9_conf58.jpg
minor,crops/0030_JPEG_jpg.rf.f5ab99d72cca989cfdf9de53e814a6d1_box0_cls9_conf42.jpg
minor,crops/0030_JPEG_jpg.rf.f5ab99d72cca989cfdf9de53e814a6d1_box1_cls9_conf29.jpg
minor,crops/0033_JPEG_jpg.rf.216c7a756c271546d9fa614aecbe4203_box0_cls9_conf35.jpg
minor,crops/0040_JPEG_jpg.rf.a238093daa21eda5bebc20859a3e3e29_box0_cls9_conf84.jpg
minor,crops/0044_JPEG_jpg.rf.4acc720b4daaefd3406bb3932101852e_box0_cls9_conf40.jpg
severe,crops/0045_JPEG_jpg.rf.88e5595629268a2a5df901a969e13a3c_box0_cls9_conf38.jpg
severe,crops/0046_jpeg_jpg.rf.09c9041fd88f400ce75e59f62b83556b_box0_cls9_conf51.jpg
severe,crops/0046_jpeg_jpg.rf.09c9041fd88f400ce75e59f62b83556b_box1_cls9_conf26.jpg
minor,crops/0051_JPEG_jpg.rf.efab6f6b039afe5d5cae81790a8b0afd_box0_cls9_conf47.jpg
severe,crops/0053_JPEG_jpg.rf.5e05b67bf7325455c8331e7026fbe62b_box0_cls9_conf30.jpg
severe,crops/0057_JPEG_jpg.rf.8f43e859b375362f926935d161e19d79_box0_cls9_conf56.jpg
severe,crops/0057_JPEG_jpg.rf.8f43e859b375362f926935d161e19d79_box1_cls9_conf36.jpg
moderate,crops/0057_JPEG_jpg.rf.8f43e859b375362f926935d161e19d79_box2_cls13_conf30.jpg
severe,crops/0066_JPEG_jpg.rf.3eec469ff1f730d16e435c0c51583cba_box0_cls9_conf34.jpg
severe,crops/0072_JPEG_jpg.rf.a9837f2d00540bc58925066c7b96336c_box0_cls9_conf38.jpg
severe,crops/0072_JPEG_jpg.rf.a9837f2d00540bc58925066c7b96336c_box1_cls9_conf33.jpg
minor,crops/0072_JPEG_jpg.rf.c7b87641b029b846350f66a2ddcde95c_box0_cls9_conf35.jpg
moderate,crops/0077_JPEG_jpg.rf.0e1db64f3ee676bcdf73b6a222f3ba63_box0_cls9_conf56.jpg
